zone_code,geography
A & E DISTRICT,"POLYGON((-80.1376011912286 26.1574544260186, -80.1375964881948 26.1572922692021, -80.138052513267 26.1572822741963, -80.13804464612 26.1570267036096, -80.1380375757401 26.1570036206875, -80.1380239885009 26.1569858303968, -80.1380141414158 26.1569780325413, -80.1379978143493 26.1569696814191, -80.1379719403248 26.1569645414419, -80.1376674204214 26.1569721729136, -80.1375392372961 26.1570441388392, -80.1373250237707 26.1571572113316, -80.1373123751288 26.1571658916277, -80.1373020060897 26.1571768339337, -80.1372942916776 26.1571895115963, -80.1372883875938 26.1572150945792, -80.1372955345201 26.1574610182001, -80.1374489322858 26.1574578108875, -80.1376011912286 26.1574544260186))"
A & E DISTRICT,"POLYGON((-80.1344521659594 26.1593109483843, -80.1344285363176 26.1584679453946, -80.1333737950521 26.1589419727446, -80.1331154621404 26.159054246303, -80.1331049498665 26.1590600208307, -80.1330876698918 26.1590757363848, -80.1330768179574 26.1590955921463, -80.1330741836615 26.1591064407648, -80.1330816041315 26.1593524177337, -80.1330912420705 26.1593746574074, -80.1330991152316 26.1593843099556, -80.1331197816822 26.1593992236637, -80.1331448532415 26.1594068611431, -80.1333873453111 26.1594026949024, -80.1333865975637 26.1593751792881, -80.1344380217851 26.1593525316597, -80.134448832657 26.1593327757197, -80.1344521659594 26.1593109483843))"
A & E DISTRICT,"POLYGON((-80.140206670963 26.1522595983565, -80.1402797400653 26.1522657405807, -80.140213717299 26.1526589567866, -80.1405191091884 26.1527146556287, -80.1405568470884 26.1525030036809, -80.1405726417407 26.1523967618092, -80.1406071375389 26.1521133496001, -80.1406217269709 26.1519731352287, -80.140234796877 26.1519495366468, -80.140227614208 26.1520519398403, -80.1402109226787 26.1522193611562, -80.140206670963 26.1522595983565))"
A & E DISTRICT,"POLYGON((-80.1344848323973 26.1579520927778, -80.1345590445489 26.1581325553037, -80.1347923043714 26.1580276932284, -80.1347197480069 26.1578512573929, -80.1344848323973 26.1579520927778))"
A & E DISTRICT,"POLYGON((-80.1363996537389 26.1580581366806, -80.1367817247006 26.1580499441618, -80.1367772230292 26.15788502094, -80.1371558640919 26.1578768013439, -80.1371402483897 26.157357949516, -80.1371339592012 26.1573322961942, -80.1371211366966 26.1573141637651, -80.1370980096492 26.1572982062132, -80.1370778575378 26.15729223928, -80.1370540478325 26.1572915820732, -80.1370336214367 26.1572967885127, -80.1364276447097 26.1575691347086, -80.1364144350192 26.1575773005378, -80.1364034965841 26.1575877221506, -80.1363940562228 26.1576021088519, -80.1363877696025 26.1576278628172, -80.1363949605194 26.1578932178099, -80.1363996537389 26.1580581366806))"
A & E DISTRICT,"POLYGON((-80.1409065387217 26.1529413301678, -80.1407438296434 26.1529483812789, -80.1406904386522 26.1531588861475, -80.1406333682882 26.1533542846486, -80.1405989446493 26.1534614084461, -80.1405447289113 26.1536174802249, -80.1405052309596 26.1537231678757, -80.1404436239244 26.1538769890776, -80.1403991201232 26.1539810456505, -80.14035055587 26.1540888359821, -80.1402514061883 26.1542931662054, -80.1405222117263 26.1542861449127, -80.1406310362262 26.1540502344163, -80.1406768409072 26.153942515546, -80.1407367937759 26.1537922525645, -80.1407775986511 26.1536829081616, -80.1408349473182 26.1535173361271, -80.140881425075 26.1533705305768, -80.1409215367422 26.1532321852136, -80.1409065387217 26.1529413301678))"
A & E DISTRICT,"POLYGON((-80.1328582535093 26.1581342864097, -80.1328359984969 26.1581386058095, -80.1321834239053 26.1584320931844, -80.1321729021531 26.1584378340575, -80.1321555820338 26.158453485244, -80.1321446628794 26.1584732886079, -80.1321412741384 26.1584951957473, -80.132156869023 26.1591025184095, -80.1321582141045 26.1591139642481, -80.1321670968323 26.1591354573469, -80.1321833179332 26.159153118659, -80.132193643383 26.1591598753302, -80.1322050728443 26.1591649833979, -80.1322299413746 26.1591697316342, -80.1322551569476 26.1591668351354, -80.1322670111038 26.1591625879225, -80.1329187975476 26.1588698520774, -80.1329021530951 26.1581746236971, -80.1328960094403 26.158154842635, -80.1328800585081 26.1581401860663, -80.1328582535093 26.1581342864097))"
A & E DISTRICT,"POLYGON((-80.1402160288763 26.1544304886929, -80.1402190160783 26.154774360266, -80.1405237234796 26.1547665648407, -80.1405207384318 26.1544226932698, -80.1402160288763 26.1544304886929))"
A & E DISTRICT,"POLYGON((-80.1348943061753 26.1587511500872, -80.1348903675249 26.1586135708076, -80.1353475243193 26.1586037645948, -80.1353313079709 26.1580620364113, -80.1345791032714 26.1584002188175, -80.1345888394146 26.1587575670276, -80.1348792259917 26.1587514666084, -80.1348943061753 26.1587511500872))"
A & E DISTRICT,"POLYGON((-80.1397830371165 26.1545928861685, -80.1395159678726 26.1544603642936, -80.1393909852677 26.1546562640949, -80.1392706607701 26.1548300726606, -80.1395230168913 26.1549844829514, -80.1395873865505 26.1548935389535, -80.139683578258 26.1547506597335, -80.1397830371165 26.1545928861685))"
