county,zoning_source,zone_code,geometry,fillColor,stroke,stroke-width
Hillsborough,hillsborough_tampa_zoning,CBD-1,"POLYGON((-82.4597623871914 27.9496328815841, -82.4606683702184 27.949317846473, -82.4600043856452 27.9478318743556, -82.4591043987873 27.9481549174503, -82.4587753478729 27.9474108807068, -82.4579443951197 27.947685851981, -82.4577579329622 27.9472788866413, -82.4580844487734 27.9471657055697, -82.4585608334351 27.9472099684687, -82.4586639735097 27.9471791188211, -82.4584343978363 27.9466268994849, -82.4567602092669 27.9472241672992, -82.4559271675612 27.9475214265701, -82.4556003674676 27.9467889262992, -82.4539146716405 27.9473648980772, -82.453752044339 27.9469814051574, -82.4536371381462 27.9470248226184, -82.453345874356 27.947124200127, -82.4531898344318 27.9471774436781, -82.4530218862598 27.9472347690502, -82.4529156051647 27.947269451049, -82.4549952229246 27.9520416167873, -82.4548464405729 27.9521440043659, -82.4540210005492 27.9523249801989, -82.4541620180543 27.9526506016494, -82.4534126019353 27.9527306002689, -82.4512664429205 27.9527271831065, -82.4512666804728 27.9541956092369, -82.4517701542526 27.954194360163, -82.4517701405582 27.9541175829825, -82.4521468184734 27.9541177945318, -82.4521456222484 27.9538701738622, -82.4522376389226 27.95387019283, -82.4525628822554 27.953870260895, -82.4527947572705 27.9538703077878, -82.4528013863662 27.9538703094436, -82.452903250965 27.9538699210693, -82.4529025780408 27.9535929820269, -82.4530484918328 27.9535925009442, -82.4530507345558 27.9531052974792, -82.4537662216673 27.9530306195812, -82.4537621298305 27.9533071510993, -82.4537618891425 27.9534350498587, -82.4538393268347 27.9534347404149, -82.4538395087183 27.9533596356657, -82.4539169131793 27.9533591692687, -82.4540885290229 27.9533584877204, -82.4543289962736 27.9533582609437, -82.4543314948528 27.9532894600193, -82.454423830401 27.9532893023117, -82.4547961196975 27.9532886629293, -82.4548940497014 27.9532884954458, -82.4549813730886 27.953288344904, -82.4549834056398 27.9538675044003, -82.4550779670487 27.9538658345714, -82.4551323921242 27.9538656149174, -82.4551310983291 27.9541108433212, -82.4551306965598 27.9541555943541, -82.4547397521454 27.9541558432883, -82.45474050942 27.9542521723578, -82.4547398993426 27.9544446795899, -82.4549211083251 27.9544444571102, -82.4549598728632 27.9544449354067, -82.4549608425639 27.9547315282839, -82.4549201918312 27.9547337427026, -82.4549192784481 27.9550220717161, -82.454919054314 27.9550927340087, -82.4550871736201 27.9550922414261, -82.4550858378802 27.9555562677753, -82.4551283376043 27.9555560099369, -82.4551276123569 27.9557359090133, -82.4551369029127 27.9557360831398, -82.4551361657644 27.9559521545205, -82.4550731620632 27.9559523384772, -82.4550699388157 27.9564124283734, -82.4565944263051 27.9563753538585, -82.4587874064414 27.956352447063, -82.458772709136 27.9566433838384, -82.4631073844511 27.9565607252547, -82.4645056757215 27.9563462641483, -82.4649773272945 27.954512796128, -82.4652730016733 27.9528337127338, -82.4652714004946 27.9519713449204, -82.4652836896725 27.9515919674905, -82.4648624131295 27.9501905792773, -82.4640180186721 27.9501263699363, -82.4632974307574 27.9501668408874, -82.4637046459396 27.9508627380847, -82.4630871544093 27.951099075644, -82.4626937175204 27.9503450673219, -82.4595783235274 27.9514186233939, -82.4599076448573 27.9521430725907, -82.4590613192216 27.9524378675942, -82.4584073333785 27.9509569094829, -82.4592466494114 27.9506748162843, -82.4600913842924 27.9503808882112, -82.4597623871914 27.9496328815841), (-82.4559271675612 27.9475214265701, -82.4562516874203 27.9482690958438, -82.4554119942994 27.9485615010485, -82.4555846541787 27.9489368360325, -82.4557056678427 27.9488902256519, -82.4560003758383 27.9487891027226, -82.4563058731555 27.9486842832177, -82.4564211619033 27.9486437193033, -82.4565862564154 27.9490132114951, -82.4548992102865 27.9495939835613, -82.4542487422193 27.9481146171719, -82.4559271675612 27.9475214265701), (-82.4597623871914 27.9496328815841, -82.4589243377979 27.9499179010918, -82.4586033470682 27.9491778981466, -82.4594313406695 27.9488949003743, -82.4597623871914 27.9496328815841), (-82.4594682810035 27.9533641367423, -82.459420455157 27.9532547282534, -82.4593739937679 27.9531507305646, -82.4602239392744 27.9528387729957, -82.46020605685 27.9527928937099, -82.4603017181644 27.9527565622082, -82.4604237454089 27.9527112076732, -82.4605753373406 27.9526002308979, -82.4604727449363 27.9523660048318, -82.4603631277177 27.9521157374367, -82.4603158080218 27.95200713972, -82.460741370362 27.9518628443177, -82.4609755348314 27.9524439255128, -82.460960812159 27.9532863896418, -82.4608622559221 27.9532867313869, -82.4605958894331 27.9532897833307, -82.4605953171261 27.9530488368228, -82.4603291387834 27.9530520265874, -82.4602219389542 27.9530517605779, -82.4602113257704 27.953481871926, -82.4595173781794 27.9534768798912, -82.4594682810035 27.9533641367423), (-82.4570326783507 27.9531436498708, -82.4570767569119 27.9532434230676, -82.4571966224002 27.9535179528846, -82.4573127044793 27.9537858570098, -82.457350770348 27.9538755042657, -82.4568846255679 27.9540408842785, -82.4565341930021 27.9533052205029, -82.4561993857489 27.952578430592, -82.4570493851209 27.9522778645789, -82.4573755084213 27.95302281704, -82.4570326783507 27.9531436498708))","rgb(120,167,50)",#747474,3
Hillsborough,hillsborough_tampa_zoning,CBD-1,"POLYGON((-82.4597623871914 27.9496328815841, -82.4606683702184 27.949317846473, -82.4600043856452 27.9478318743556, -82.4591043987873 27.9481549174503, -82.4587753478729 27.9474108807068, -82.4579443951197 27.947685851981, -82.4577579329622 27.9472788866413, -82.4580844487734 27.9471657055697, -82.4585608334351 27.9472099684687, -82.4586639735097 27.9471791188211, -82.4584343978363 27.9466268994849, -82.4567602092669 27.9472241672992, -82.4559271675612 27.9475214265701, -82.4556003674676 27.9467889262992, -82.4539146716405 27.9473648980772, -82.453752044339 27.9469814051574, -82.4536371381462 27.9470248226184, -82.453345874356 27.947124200127, -82.4531898344318 27.9471774436781, -82.4530218862598 27.9472347690502, -82.4529156051647 27.947269451049, -82.4549952229246 27.9520416167873, -82.4548464405729 27.9521440043659, -82.4540210005492 27.9523249801989, -82.4541620180543 27.9526506016494, -82.4534126019353 27.9527306002689, -82.4512664429205 27.9527271831065, -82.4512666804728 27.9541956092369, -82.4517701542526 27.954194360163, -82.4517701405582 27.9541175829825, -82.4521468184734 27.9541177945318, -82.4521456222484 27.9538701738622, -82.4522376389226 27.95387019283, -82.4525628822554 27.953870260895, -82.4527947572705 27.9538703077878, -82.4528013863662 27.9538703094436, -82.452903250965 27.9538699210693, -82.4529025780408 27.9535929820269, -82.4530484918328 27.9535925009442, -82.4530507345558 27.9531052974792, -82.4537662216673 27.9530306195812, -82.4537621298305 27.9533071510993, -82.4537618891425 27.9534350498587, -82.4538393268347 27.9534347404149, -82.4538395087183 27.9533596356657, -82.4539169131793 27.9533591692687, -82.4540885290229 27.9533584877204, -82.4543289962736 27.9533582609437, -82.4543314948528 27.9532894600193, -82.454423830401 27.9532893023117, -82.4547961196975 27.9532886629293, -82.4548940497014 27.9532884954458, -82.4549813730886 27.953288344904, -82.4549834056398 27.9538675044003, -82.4550779670487 27.9538658345714, -82.4551323921242 27.9538656149174, -82.4551310983291 27.9541108433212, -82.4551306965598 27.9541555943541, -82.4547397521454 27.9541558432883, -82.45474050942 27.9542521723578, -82.4547398993426 27.9544446795899, -82.4549211083251 27.9544444571102, -82.4549598728632 27.9544449354067, -82.4549608425639 27.9547315282839, -82.4549201918312 27.9547337427026, -82.4549192784481 27.9550220717161, -82.454919054314 27.9550927340087, -82.4550871736201 27.9550922414261, -82.4550858378802 27.9555562677753, -82.4551283376043 27.9555560099369, -82.4551276123569 27.9557359090133, -82.4551369029127 27.9557360831398, -82.4551361657644 27.9559521545205, -82.4550731620632 27.9559523384772, -82.4550699388157 27.9564124283734, -82.4565944263051 27.9563753538585, -82.4587874064414 27.956352447063, -82.458772709136 27.9566433838384, -82.4631073844511 27.9565607252547, -82.4645056757215 27.9563462641483, -82.4649773272945 27.954512796128, -82.4652730016733 27.9528337127338, -82.4652714004946 27.9519713449204, -82.4652836896725 27.9515919674905, -82.4648624131295 27.9501905792773, -82.4640180186721 27.9501263699363, -82.4632974307574 27.9501668408874, -82.4637046459396 27.9508627380847, -82.4630871544093 27.951099075644, -82.4626937175204 27.9503450673219, -82.4595783235274 27.9514186233939, -82.4599076448573 27.9521430725907, -82.4590613192216 27.9524378675942, -82.4584073333785 27.9509569094829, -82.4592466494114 27.9506748162843, -82.4600913842924 27.9503808882112, -82.4597623871914 27.9496328815841), (-82.4559271675612 27.9475214265701, -82.4562516874203 27.9482690958438, -82.4554119942994 27.9485615010485, -82.4555846541787 27.9489368360325, -82.4557056678427 27.9488902256519, -82.4560003758383 27.9487891027226, -82.4563058731555 27.9486842832177, -82.4564211619033 27.9486437193033, -82.4565862564154 27.9490132114951, -82.4548992102865 27.9495939835613, -82.4542487422193 27.9481146171719, -82.4559271675612 27.9475214265701), (-82.4597623871914 27.9496328815841, -82.4589243377979 27.9499179010918, -82.4586033470682 27.9491778981466, -82.4594313406695 27.9488949003743, -82.4597623871914 27.9496328815841), (-82.4594682810035 27.9533641367423, -82.459420455157 27.9532547282534, -82.4593739937679 27.9531507305646, -82.4602239392744 27.9528387729957, -82.46020605685 27.9527928937099, -82.4603017181644 27.9527565622082, -82.4604237454089 27.9527112076732, -82.4605753373406 27.9526002308979, -82.4604727449363 27.9523660048318, -82.4603631277177 27.9521157374367, -82.4603158080218 27.95200713972, -82.460741370362 27.9518628443177, -82.4609755348314 27.9524439255128, -82.460960812159 27.9532863896418, -82.4608622559221 27.9532867313869, -82.4605958894331 27.9532897833307, -82.4605953171261 27.9530488368228, -82.4603291387834 27.9530520265874, -82.4602219389542 27.9530517605779, -82.4602113257704 27.953481871926, -82.4595173781794 27.9534768798912, -82.4594682810035 27.9533641367423), (-82.4570326783507 27.9531436498708, -82.4570767569119 27.9532434230676, -82.4571966224002 27.9535179528846, -82.4573127044793 27.9537858570098, -82.457350770348 27.9538755042657, -82.4568846255679 27.9540408842785, -82.4565341930021 27.9533052205029, -82.4561993857489 27.952578430592, -82.4570493851209 27.9522778645789, -82.4573755084213 27.95302281704, -82.4570326783507 27.9531436498708))","rgb(120,167,50)",#747474,3
Hillsborough,hillsborough_tampa_zoning,CBD-2,"POLYGON((-82.4586639735097 27.9471791188211, -82.4585608334351 27.9472099684687, -82.4580844487734 27.9471657055697, -82.4577579329622 27.9472788866413, -82.4579443951197 27.947685851981, -82.4587753478729 27.9474108807068, -82.4591043987873 27.9481549174503, -82.4600043856452 27.9478318743556, -82.4606683702184 27.949317846473, -82.4597623871914 27.9496328815841, -82.4600913842924 27.9503808882112, -82.4592466494114 27.9506748162843, -82.4595783235274 27.9514186233939, -82.4626937175204 27.9503450673219, -82.4631940471876 27.9501726465801, -82.4632973129036 27.950166847601, -82.4632974307574 27.9501668408874, -82.4640180186721 27.9501263699363, -82.4648624131295 27.9501905792773, -82.4642214778583 27.9494047381268, -82.4631304763039 27.9485346669061, -82.461031594731 27.9465971072568, -82.4601271073066 27.9457584764924, -82.4596774075766 27.9453415128209, -82.4592851739537 27.9448384841306, -82.4590216963949 27.9434240039447, -82.4587969041317 27.9422171584042, -82.4585983649669 27.9411520128954, -82.4584756649856 27.9408565698035, -82.4571065717724 27.939042418159, -82.4557345326039 27.939531177901, -82.4495947148551 27.9412399210148, -82.4496094212033 27.9413706508259, -82.4495435464888 27.9416961410287, -82.4491445601646 27.9426463719584, -82.4488630943604 27.9435384559688, -82.4482179804353 27.9435507558356, -82.4482514776583 27.9440101287878, -82.4482513774019 27.9440658405272, -82.4482781001105 27.944415688792, -82.4483277626085 27.9448362575831, -82.4483315260303 27.9448681266979, -82.4483472419327 27.9449908407662, -82.4485345225708 27.9471712484898, -82.4486703834182 27.9487288564108, -82.4487047841396 27.9494044070897, -82.4487220190272 27.9497428694748, -82.4488176793708 27.9505780358268, -82.448893763373 27.9513814973027, -82.4490283321241 27.952279894786, -82.4497994873498 27.9528941705854, -82.4505642077007 27.9535790695441, -82.4507182992722 27.9537170763275, -82.4512666804728 27.9541956092369, -82.4512664429205 27.9527271831065, -82.4534126019353 27.9527306002689, -82.4541620180543 27.9526506016494, -82.4540210005492 27.9523249801989, -82.4548464405729 27.9521440043659, -82.4549952229246 27.9520416167873, -82.4529156051647 27.947269451049, -82.4530218862598 27.9472347690502, -82.4531898344318 27.9471774436781, -82.453345874356 27.947124200127, -82.4536371381462 27.9470248226184, -82.453752044339 27.9469814051574, -82.4539146716405 27.9473648980772, -82.4556003674676 27.9467889262992, -82.4559271675612 27.9475214265701, -82.4567602092669 27.9472241672992, -82.4584343978363 27.9466268994849, -82.4586639735097 27.9471791188211), (-82.4584343978363 27.9466268994849, -82.4581333547272 27.9459629118781, -82.4587785031625 27.9457376563802, -82.4591984401232 27.9463891519166, -82.4584343978363 27.9466268994849), (-82.4528090700181 27.9426000934452, -82.4524312416917 27.9417417856077, -82.4541694387273 27.9413005572406, -82.4544971857821 27.9420100371136, -82.4528090700181 27.9426000934452), (-82.450376360857 27.9435328824123, -82.4504216968405 27.9423584411986, -82.4507172470803 27.9421168580103, -82.4512817670903 27.9419754758438, -82.4513058460083 27.9434329059978, -82.4513087421805 27.9435449013694, -82.450376360857 27.9435328824123))","rgb(133,190,128)",#747474,3
Hillsborough,hillsborough_tampa_zoning,CBD-2,"POLYGON((-82.4586639735097 27.9471791188211, -82.4585608334351 27.9472099684687, -82.4580844487734 27.9471657055697, -82.4577579329622 27.9472788866413, -82.4579443951197 27.947685851981, -82.4587753478729 27.9474108807068, -82.4591043987873 27.9481549174503, -82.4600043856452 27.9478318743556, -82.4606683702184 27.949317846473, -82.4597623871914 27.9496328815841, -82.4600913842924 27.9503808882112, -82.4592466494114 27.9506748162843, -82.4595783235274 27.9514186233939, -82.4626937175204 27.9503450673219, -82.4631940471876 27.9501726465801, -82.4632973129036 27.950166847601, -82.4632974307574 27.9501668408874, -82.4640180186721 27.9501263699363, -82.4648624131295 27.9501905792773, -82.4642214778583 27.9494047381268, -82.4631304763039 27.9485346669061, -82.461031594731 27.9465971072568, -82.4601271073066 27.9457584764924, -82.4596774075766 27.9453415128209, -82.4592851739537 27.9448384841306, -82.4590216963949 27.9434240039447, -82.4587969041317 27.9422171584042, -82.4585983649669 27.9411520128954, -82.4584756649856 27.9408565698035, -82.4571065717724 27.939042418159, -82.4557345326039 27.939531177901, -82.4495947148551 27.9412399210148, -82.4496094212033 27.9413706508259, -82.4495435464888 27.9416961410287, -82.4491445601646 27.9426463719584, -82.4488630943604 27.9435384559688, -82.4482179804353 27.9435507558356, -82.4482514776583 27.9440101287878, -82.4482513774019 27.9440658405272, -82.4482781001105 27.944415688792, -82.4483277626085 27.9448362575831, -82.4483315260303 27.9448681266979, -82.4483472419327 27.9449908407662, -82.4485345225708 27.9471712484898, -82.4486703834182 27.9487288564108, -82.4487047841396 27.9494044070897, -82.4487220190272 27.9497428694748, -82.4488176793708 27.9505780358268, -82.448893763373 27.9513814973027, -82.4490283321241 27.952279894786, -82.4497994873498 27.9528941705854, -82.4505642077007 27.9535790695441, -82.4507182992722 27.9537170763275, -82.4512666804728 27.9541956092369, -82.4512664429205 27.9527271831065, -82.4534126019353 27.9527306002689, -82.4541620180543 27.9526506016494, -82.4540210005492 27.9523249801989, -82.4548464405729 27.9521440043659, -82.4549952229246 27.9520416167873, -82.4529156051647 27.947269451049, -82.4530218862598 27.9472347690502, -82.4531898344318 27.9471774436781, -82.453345874356 27.947124200127, -82.4536371381462 27.9470248226184, -82.453752044339 27.9469814051574, -82.4539146716405 27.9473648980772, -82.4556003674676 27.9467889262992, -82.4559271675612 27.9475214265701, -82.4567602092669 27.9472241672992, -82.4584343978363 27.9466268994849, -82.4586639735097 27.9471791188211), (-82.4584343978363 27.9466268994849, -82.4581333547272 27.9459629118781, -82.4587785031625 27.9457376563802, -82.4591984401232 27.9463891519166, -82.4584343978363 27.9466268994849), (-82.4528090700181 27.9426000934452, -82.4524312416917 27.9417417856077, -82.4541694387273 27.9413005572406, -82.4544971857821 27.9420100371136, -82.4528090700181 27.9426000934452), (-82.450376360857 27.9435328824123, -82.4504216968405 27.9423584411986, -82.4507172470803 27.9421168580103, -82.4512817670903 27.9419754758438, -82.4513058460083 27.9434329059978, -82.4513087421805 27.9435449013694, -82.450376360857 27.9435328824123))","rgb(133,190,128)",#747474,3
Hillsborough,hillsborough_tampa_zoning,CD-2,"MULTIPOLYGON(((-82.4435259705253 27.9526743360919, -82.4435714307254 27.9527320613456, -82.4436324239971 27.9529602447291, -82.443667445503 27.9532449802734, -82.4436563898038 27.9534424250283, -82.4436267050243 27.9534474442673, -82.4436184901195 27.954461002076, -82.4435986827495 27.9544651637684, -82.443592384884 27.9545158770968, -82.4436230774326 27.9545221320666, -82.4436065664843 27.9546507736694, -82.4435792045353 27.9546938275215, -82.4435503178404 27.9547731091249, -82.4441878630412 27.9547725060675, -82.4441886979658 27.9532457708956, -82.4436460685413 27.9527420225857, -82.4435166829435 27.9525997157135, -82.4435259705253 27.9526743360919)), ((-82.4415936750991 27.9551190315846, -82.4415914112053 27.9552562425799, -82.4428189385078 27.9551982371361, -82.444187483087 27.9551335742946, -82.4441877412466 27.9548865172667, -82.4434834681869 27.954885713706, -82.4434719615316 27.9548970562052, -82.4431282650217 27.9549003659218, -82.4430691821605 27.954912879468, -82.4429908392177 27.9549722901939, -82.4429248872745 27.9550151775329, -82.4429018084019 27.9550240746858, -82.4428512396121 27.9550123833026, -82.4428192634864 27.9550073920595, -82.4426606459576 27.9549597197476, -82.4425452241787 27.954955135749, -82.4424297091051 27.9549570809092, -82.4423571203479 27.9549465321877, -82.4422860229653 27.9549423370355, -82.442251381661 27.9549347164716, -82.4420696442814 27.9549192382365, -82.4420143721305 27.9549207278519, -82.4419794078122 27.9549098965697, -82.4419636333778 27.9549012055493, -82.4415936750991 27.9551190315846)))","rgb(123,154,79)",#747474,3
Hillsborough,hillsborough_tampa_zoning,CD-2,"POLYGON((-82.4428189385078 27.9551982371361, -82.4428103337275 27.9554727263967, -82.4433264029035 27.9554763000584, -82.4439712280806 27.9554377587577, -82.4442664225484 27.9554042246671, -82.4443425608491 27.955388018826, -82.444800480632 27.9553178111413, -82.4448443698568 27.9553119200326, -82.4452370836511 27.9552409786027, -82.4457993262 27.9550777848354, -82.4463674570918 27.9549197143394, -82.4467819699347 27.9547313643561, -82.4467991911491 27.9541888872802, -82.4467337000991 27.9541864819514, -82.4461865708714 27.9541829242413, -82.4461891992568 27.9538606542717, -82.4456522024595 27.9538584973166, -82.4455353876209 27.9538594042879, -82.4455338467349 27.9535342952682, -82.4455164391061 27.953071797425, -82.4456586138668 27.9530716521284, -82.4461956118265 27.9530745445537, -82.4462012663339 27.9523814010608, -82.4462024676651 27.9522753799092, -82.4453552264418 27.9522904470183, -82.443430048823 27.9522575336226, -82.4433399875374 27.9522597133692, -82.4430782833609 27.9522605560024, -82.4428090043459 27.9522704385141, -82.442819531182 27.9548505780465, -82.4428192634864 27.9550073920595, -82.4428512396121 27.9550123833026, -82.4429018084019 27.9550240746858, -82.4429248872745 27.9550151775329, -82.4429908392177 27.9549722901939, -82.4430691821605 27.954912879468, -82.4431282650217 27.9549003659218, -82.4434719615316 27.9548970562052, -82.4434834681869 27.954885713706, -82.4441877412466 27.9548865172667, -82.444187483087 27.9551335742946, -82.4428189385078 27.9551982371361), (-82.4441878630412 27.9547725060675, -82.4435503178404 27.9547731091249, -82.4435792045353 27.9546938275215, -82.4436065664843 27.9546507736694, -82.4436230774326 27.9545221320666, -82.443592384884 27.9545158770968, -82.4435986827495 27.9544651637684, -82.4436184901195 27.954461002076, -82.4436267050243 27.9534474442673, -82.4436563898038 27.9534424250283, -82.443667445503 27.9532449802734, -82.4436324239971 27.9529602447291, -82.4435714307254 27.9527320613456, -82.4435259705253 27.9526743360919, -82.4435166829435 27.9525997157135, -82.4436460685413 27.9527420225857, -82.4441886979658 27.9532457708956, -82.4441878630412 27.9547725060675))","rgb(123,154,79)",#747474,3
Hillsborough,hillsborough_tampa_zoning,CG,"POLYGON((-82.4909960451421 27.9210348039835, -82.490579805148 27.9208736946015, -82.4902825349914 27.9213697051707, -82.4903766502279 27.9214070964668, -82.4903975007907 27.921414543857, -82.4906885389134 27.9215184951403, -82.4907512633195 27.9214204374294, -82.4907900429384 27.9213598131941, -82.4908288225185 27.9212991898503, -82.4908676010357 27.9212385655969, -82.4909063805259 27.9211779413289, -82.4909701557421 27.9210782400869, -82.4909960451421 27.9210348039835))","rgb(92,60,94)",#747474,3
Hillsborough,hillsborough_tampa_zoning,CG,"POLYGON((-82.5049195273438 27.9501793399619, -82.504920888452 27.9502408124656, -82.5056554970304 27.950233513707, -82.5056570086836 27.9500002030265, -82.5056588125298 27.9498296176943, -82.5054667347018 27.9498307607851, -82.504923934695 27.949832405389, -82.5049195273438 27.9501793399619))","rgb(92,60,94)",#747474,3
Hillsborough,hillsborough_tampa_zoning,CG,"MULTIPOLYGON(((-82.434706767781 27.9422877693477, -82.4341555798382 27.9422834235163, -82.434156379617 27.9423762036848, -82.4341561694019 27.9426410576997, -82.4341561934547 27.9426651178088, -82.4343094976016 27.9426646343079, -82.4343108888681 27.9426827079958, -82.4343103218799 27.9429436294954, -82.4343108874174 27.943012107459, -82.4344632998381 27.943011618474, -82.4344632853063 27.9430798582236, -82.4344632906901 27.9433430384487, -82.4344634747135 27.9433829345263, -82.4344626368653 27.9436453972738, -82.43446292988 27.9437226899734, -82.4347183429047 27.9437259031057, -82.4347180022322 27.9430126283616, -82.4351094342273 27.9430110309252, -82.4351107392585 27.9429416175703, -82.4351080194985 27.9426574710938, -82.4347983037455 27.9426594322462, -82.4347006972345 27.942659876715, -82.434706767781 27.9422877693477)), ((-82.4350945480628 27.9422909699124, -82.4350895049628 27.940694004678, -82.4350660454056 27.9406932711454, -82.4348014676979 27.9406971344991, -82.4347026154657 27.9406976632039, -82.4347020673983 27.940560749615, -82.434800085733 27.9405608480162, -82.4350660551172 27.9405567050338, -82.4350909661712 27.9405565432963, -82.4350901340771 27.9403379548225, -82.434704359923 27.9403391714932, -82.4347016589951 27.9396644315658, -82.4350875638569 27.9396632127043, -82.4350796702204 27.9375903824349, -82.4348786872974 27.9375921904621, -82.4347005909802 27.9375951902316, -82.4347023333664 27.9382818371486, -82.4345829158621 27.9384336601501, -82.4343560665227 27.9390308643501, -82.4339313166199 27.9402138983114, -82.434277396898 27.9402131681722, -82.4342792124654 27.9408879686227, -82.4347037700584 27.940884300652, -82.434706767781 27.9422877693477, -82.4350945480628 27.9422909699124)))","rgb(92,60,94)",#747474,3
Hillsborough,hillsborough_tampa_zoning,CG,"POLYGON((-82.4930571192845 27.903818376841, -82.493054007307 27.904063377582, -82.4930533775502 27.9041093200103, -82.4934563043431 27.9041060720758, -82.4934594937776 27.9040664085134, -82.4934564908139 27.9036481225473, -82.4933613900617 27.9036473648053, -82.4932712275369 27.9036467102457, -82.4932074446609 27.903646183213, -82.4930863510292 27.9036452430687, -82.4930599872442 27.9036450296734, -82.4930571192845 27.903818376841))","rgb(92,60,94)",#747474,3
