county,zoning_source,zone_code,geometry,fillColor,stroke,stroke-width
Pinellas,pinellas_belleair_zoning,C-1,"POLYGON((-82.80312401 27.94441968, -82.80390286 27.9444279, -82.8038983 27.94365893, -82.8031504 27.94365278, -82.80315261 27.94402163, -82.80312164 27.94402137, -82.80312401 27.94441968))","rgb(129,148,190)",#747474,3
Pinellas,pinellas_belleair_zoning,C-1,"POLYGON((-82.80029534 27.94264955, -82.80046587 27.94265097, -82.80046878 27.94237594, -82.80010055 27.9423729, -82.80009764 27.94264793, -82.80029534 27.94264955))","rgb(129,148,190)",#747474,3
Pinellas,pinellas_belleair_zoning,C-1,"POLYGON((-82.80175411 27.9352985, -82.80172098 27.93572104, -82.80201998 27.93572352, -82.80202146 27.93560278, -82.8024363 27.93560607, -82.80243938 27.93530389, -82.80175411 27.9352985))","rgb(129,148,190)",#747474,3
Pinellas,pinellas_belleair_zoning,C-1,"POLYGON((-82.7999996 27.94511779, -82.8000128 27.94724424, -82.80037825 27.94724769, -82.8003628 27.9451158, -82.7999996 27.94511779))","rgb(129,148,190)",#747474,3
Pinellas,pinellas_belleair_zoning,C-1,"POLYGON((-82.8032893 27.93509006, -82.80352156 27.93509125, -82.80352377 27.93479063, -82.80329203 27.93478897, -82.8032893 27.93509006))","rgb(129,148,190)",#747474,3
Pinellas,pinellas_belleair_zoning,C-2,"POLYGON((-82.80107509 27.93507559, -82.8017409 27.93508038, -82.80174449 27.93468709, -82.80107868 27.93468229, -82.80107509 27.93507559))","rgb(157,137,114)",#747474,3
Pinellas,pinellas_belleair_zoning,C-2,"POLYGON((-82.79991841 27.9350639, -82.80025416 27.93506649, -82.80055367 27.93182321, -82.80054093 27.93137587, -82.80000723 27.9313714, -82.79991841 27.9350639))","rgb(157,137,114)",#747474,3
Pinellas,pinellas_belleair_zoning,C-3,"POLYGON((-82.80001214 27.943982, -82.80001278 27.94439164, -82.80018188 27.94439304, -82.80017727 27.94362827, -82.80001158 27.9436269, -82.80001214 27.943982))","rgb(154,141,184)",#747474,3
Pinellas,pinellas_belleair_zoning,C-3,"POLYGON((-82.80040174 27.92455017, -82.80036807 27.92599666, -82.80033528 27.92674117, -82.80027233 27.92765068, -82.80051234 27.9276526, -82.80059407 27.92418536, -82.80040968 27.92418551, -82.80040174 27.92455017))","rgb(154,141,184)",#747474,3
Pinellas,pinellas_belleair_zoning,C-3,"POLYGON((-82.80055367 27.93182321, -82.80025416 27.93506649, -82.8005019 27.93506852, -82.8007932 27.9317763, -82.80078599 27.93137793, -82.80077495 27.93120635, -82.800525 27.92860916, -82.80050934 27.92826816, -82.80051194 27.92784509, -82.80030551 27.92781525, -82.80030159 27.9281288, -82.80031877 27.92855164, -82.80060936 27.93137645, -82.80054093 27.93137587, -82.80055367 27.93182321))","rgb(154,141,184)",#747474,3
Pinellas,pinellas_belleair_zoning,C-3,"POLYGON((-82.79984808 27.94044178, -82.7998719 27.94211277, -82.79995073 27.94237411, -82.80000478 27.94264167, -82.8000977 27.94264242, -82.80010439 27.94201008, -82.80009364 27.94006649, -82.80018124 27.94006748, -82.80017154 27.93897853, -82.8002854 27.93716073, -82.80033495 27.93716106, -82.8003368 27.93699584, -82.80048862 27.93528853, -82.80031399 27.93528711, -82.80015355 27.93707501, -82.80012258 27.9370748, -82.79998211 27.93897738, -82.79982727 27.93897647, -82.79984808 27.94044178))","rgb(154,141,184)",#747474,3
Pinellas,pinellas_belleair_zoning,C-3,"POLYGON((-82.80055367 27.93182321, -82.80025416 27.93506649, -82.8005019 27.93506852, -82.8007932 27.9317763, -82.80078599 27.93137793, -82.80077495 27.93120635, -82.800525 27.92860916, -82.80050934 27.92826816, -82.80051194 27.92784509, -82.80030551 27.92781525, -82.80030159 27.9281288, -82.80031877 27.92855164, -82.80060936 27.93137645, -82.80054093 27.93137587, -82.80055367 27.93182321))","rgb(154,141,184)",#747474,3
Pinellas,pinellas_belleair_zoning,C-3,"POLYGON((-82.80040174 27.92455017, -82.80036807 27.92599666, -82.80033528 27.92674117, -82.80027233 27.92765068, -82.80051234 27.9276526, -82.80059407 27.92418536, -82.80040968 27.92418551, -82.80040174 27.92455017))","rgb(154,141,184)",#747474,3
